,department,department_name,division,gender,base_salary,overtime_pay,longevity_pay,pay_grade
1240,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,49732.00,11879.81,0.00,C4
1241,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,F,49732.00,6657.69,0.00,C4
1242,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,47362.00,9350.83,0.00,C3
1243,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,49732.00,8948.69,0.00,C4
1244,COR,Correction and Rehabilitation,DS MCDC Custody and Security,F,49732.00,7599.80,0.00,C4
1245,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,47362.00,1349.28,0.00,C3
1246,COR,Correction and Rehabilitation,PTS Assessment,F,87730.50,172.56,0.00,22
1247,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,F,47362.00,11539.60,0.00,C3
1248,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,47362.00,1923.11,0.00,C5
1249,COR,Correction and Rehabilitation,DS Food Services,F,48037.50,15502.44,0.00,18
1250,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,F,49732.00,18074.94,0.00,C4
1251,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,49732.00,5397.24,0.00,C4
1252,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,49732.00,30549.18,0.00,C4
1253,COR,Correction and Rehabilitation,DS Food Services,F,45750.00,3794.61,0.00,18
1254,COR,Correction and Rehabilitation,PTS Intervention Program for Substance Abusers,F,38681.18,0.00,0.00,13
1255,COR,Correction and Rehabilitation,DS Health Services,F,38681.18,0.00,0.00,13
1256,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,49732.00,5304.17,0.00,C4
1257,COR,Correction and Rehabilitation,DS Health Services,F,72655.00,7619.58,0.00,24
1258,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,F,47362.00,25814.81,0.00,C3
1259,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,47362.00,23773.97,0.00,C3
1260,COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,M,47362.00,13371.85,0.00,C5
1261,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,47362.00,22817.47,0.00,C3
1262,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,F,47362.00,9513.11,0.00,C3
1263,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,47362.00,21775.68,0.00,C5
1264,COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,M,47362.00,24747.34,0.00,C3
1265,COR,Correction and Rehabilitation,DS Health Services,F,60285.00,0.00,0.00,23
1266,COR,Correction and Rehabilitation,PRRS Reentry Services and Programs,M,63500.00,0.00,0.00,24
1267,COR,Correction and Rehabilitation,PRRS Reentry Services and Programs,F,66100.00,0.00,0.00,24
1268,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,47362.00,6541.39,0.00,C3
1269,COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,47362.00,18018.32,0.00,C3
1270,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,47362.00,20853.38,0.00,C3
1271,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,47362.00,15285.71,0.00,C3
1272,COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,F,47362.00,14397.67,0.00,C5
1273,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,47362.00,18120.96,0.00,C3
1274,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,47362.00,15934.93,0.00,C3
1275,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,47362.00,12143.22,0.00,C3
1276,COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,M,47362.00,15798.07,0.00,C3
1277,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,47362.00,21519.44,0.00,C3
1278,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,47362.00,1750.68,0.00,C5
1279,COR,Correction and Rehabilitation,DS MCDC Custody and Security,F,47362.00,14972.58,0.00,C3
1280,COR,Correction and Rehabilitation,PRRS Facility and Security,M,47848.00,5642.44,0.00,18
1281,COR,Correction and Rehabilitation,DS Food Services,F,92000.00,0.00,0.00,26
1282,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,47362.00,427.00,0.00,C3
1283,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,47362.00,0.00,0.00,C5
1284,COR,Correction and Rehabilitation,DS MCCF Custody and Security,M,47362.00,427.00,0.00,C3
1285,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,47362.00,427.00,0.00,C3
1286,COR,Correction and Rehabilitation,MSD Information Technology,M,125000.00,0.00,0.00,28
1287,COR,Correction and Rehabilitation,DS Health Services,M,65000.00,0.00,0.00,23
1288,CUS,Community Use of Public Facilities,Finance and Administrative Support Team,F,90409.64,0.00,0.00,23
1289,CUS,Community Use of Public Facilities,Finance and Administrative Support Team,M,126584.00,0.00,0.00,28
1290,CUS,Community Use of Public Facilities,Director,F,187233.00,0.00,0.00,M1
1291,CUS,Community Use of Public Facilities,Core Services Team,F,90848.00,384.26,2694.16,21
1292,CUS,Community Use of Public Facilities,Finance and Administrative Support Team,F,71852.00,0.00,2239.92,16
1293,CUS,Community Use of Public Facilities,Core Services Team,F,78902.00,256.07,0.00,18
1294,CUS,Community Use of Public Facilities,Finance and Administrative Support Team,F,141616.25,0.00,0.00,M3
1295,CUS,Community Use of Public Facilities,Core Services Team,M,129633.79,0.00,0.00,M3
1296,CUS,Community Use of Public Facilities,Core Services Team,F,78902.00,380.96,2460.24,18
1297,CUS,Community Use of Public Facilities,Core Services Team,F,84906.75,236.65,0.00,21
1298,CUS,Community Use of Public Facilities,Core Services Team,F,72550.53,183.13,0.00,18
1299,CUS,Community Use of Public Facilities,Core Services Team,F,78902.00,3282.06,2460.24,18
1300,CUS,Community Use of Public Facilities,Core Services Team,F,76505.18,275.87,0.00,18
1301,CUS,Community Use of Public Facilities,Silver Spring Civic Building,M,118846.12,0.00,0.00,M3
1302,CUS,Community Use of Public Facilities,Silver Spring Civic Building,F,78800.32,0.00,0.00,21
1303,CUS,Community Use of Public Facilities,Core Services Team,F,90848.00,0.00,0.00,21
1304,CUS,Community Use of Public Facilities,Silver Spring Civic Building,M,51593.71,148.83,0.00,14
1305,CUS,Community Use of Public Facilities,Finance and Administrative Support Team,F,69381.75,0.00,0.00,16
1306,CUS,Community Use of Public Facilities,Finance and Administrative Support Team,M,94939.72,0.00,0.00,25
1307,CUS,Community Use of Public Facilities,Core Services Team,M,75051.16,1190.75,0.00,18
1308,CUS,Community Use of Public Facilities,Finance and Administrative Support Team,M,81508.28,0.00,0.00,21
1309,CUS,Community Use of Public Facilities,Silver Spring Civic Building,M,62824.15,0.00,0.00,14
1310,CUS,Community Use of Public Facilities,Core Services Team,F,64870.53,608.17,0.00,18
1311,CUS,Community Use of Public Facilities,Finance and Administrative Support Team,M,87412.40,0.00,0.00,26
1312,CUS,Community Use of Public Facilities,Community Use of Public Facilities,F,57809.08,0.00,0.00,16
1313,CUS,Community Use of Public Facilities,Silver Spring Civic Building,M,65500.00,0.00,0.00,18
1314,DEP,Department of Environmental Protection,Resource Conversion,F,78902.00,0.00,2460.24,18
1315,DEP,Department of Environmental Protection,Waste Reduction and Recycling,F,144751.00,0.00,0.00,M3
1316,DEP,Department of Environmental Protection,Administration and Operations,M,109761.00,0.00,0.00,25
1317,DEP,Department of Environmental Protection,Administration and Operations,F,90848.00,0.00,1887.84,21
1318,DEP,Department of Environmental Protection,Administration and Operations,F,99852.00,0.00,2075.76,23
1319,DEP,Department of Environmental Protection,Administration and Operations,M,90848.00,0.00,0.00,21
1320,DEP,Department of Environmental Protection,Materials Management,M,120703.00,0.00,1810.64,27
1321,DEP,Department of Environmental Protection,Recycling and Refuse Services,F,78902.00,125.19,0.00,18
1322,DEP,Department of Environmental Protection,Resource Conversion,F,109761.00,0.00,3421.44,25
1323,DEP,Department of Environmental Protection,Design and Construction,M,144751.00,0.00,0.00,M3
1324,DEP,Department of Environmental Protection,Administration and Operations,M,113602.93,0.00,2354.96,26
1325,DEP,Department of Environmental Protection,Administration and Operations,F,99852.00,0.00,2075.76,23
1326,DEP,Department of Environmental Protection,"Planning, Outreach and Monitoring",F,130827.01,0.00,0.00,M3
1327,DEP,Department of Environmental Protection,"Energy, Climate and Compliance Division",M,167345.00,0.00,0.00,M2
1328,DEP,Department of Environmental Protection,Recycling and Refuse Services,F,78902.00,0.00,2710.81,18
1329,DEP,Department of Environmental Protection,Strategic Services Division,F,126584.00,0.00,2630.88,28
1330,DEP,Department of Environmental Protection,Administration and Operations,F,71852.00,1361.04,2239.92,16
1331,DEP,Department of Environmental Protection,Recycling and Refuse Services,M,109761.00,0.00,2280.96,25
1332,DEP,Department of Environmental Protection,Waste Reduction and Recycling,M,109761.00,0.00,0.00,25
1333,DEP,Department of Environmental Protection,Administration and Operations,F,99852.00,0.00,3112.56,23
1334,DEP,Department of Environmental Protection,Design and Construction,M,99852.00,0.00,5841.28,23
1335,DEP,Department of Environmental Protection,Intergovernmental Affairs,M,160003.96,0.00,0.00,M2
1336,DEP,Department of Environmental Protection,Resource Conversion,M,109761.00,0.00,0.00,25
1337,DEP,Department of Environmental Protection,Administration and Operations,M,144751.00,0.00,0.00,M3
1338,DEP,Department of Environmental Protection,Low-Impact Development,F,109761.00,0.00,0.00,25
1339,DEP,Department of Environmental Protection,Recycling and Refuse Services,F,90848.00,0.00,2831.76,21
1340,DEP,Department of Environmental Protection,Resource Conversion,M,62488.00,8987.91,3952.80,13
1341,DEP,Department of Environmental Protection,Design and Construction,M,120703.00,0.00,3760.56,27
1342,DEP,Department of Environmental Protection,Stormwater BMP Inspection and Maintenance,M,99852.00,1728.24,0.00,23
1343,DEP,Department of Environmental Protection,Office of Energy and Climate,M,109761.00,0.00,3421.44,25
1344,DEP,Department of Environmental Protection,Stormwater BMP Inspection and Maintenance,M,99852.00,2447.61,3112.56,23
1345,DEP,Department of Environmental Protection,"Planning, Outreach and Monitoring",M,99852.00,0.00,0.00,23
1346,DEP,Department of Environmental Protection,Resource Conversion,M,86669.00,2088.72,5429.14,20
1347,DEP,Department of Environmental Protection,Waste Reduction and Recycling,M,90848.00,708.59,2831.76,21
1348,DEP,Department of Environmental Protection,Watershed Restoration Division,F,109761.00,0.00,0.00,25
1349,DEP,Department of Environmental Protection,"Planning, Outreach and Monitoring",F,99852.00,0.00,0.00,23
1350,DEP,Department of Environmental Protection,Environmental Compliance Group,M,104680.00,293.46,0.00,24
1351,DEP,Department of Environmental Protection,Director,F,78902.00,0.00,0.00,18
1352,DEP,Department of Environmental Protection,Materials Management,M,109761.00,1152.15,0.00,25
1353,DEP,Department of Environmental Protection,Intergovernmental Affairs,M,120703.00,0.00,7635.60,27
1354,DEP,Department of Environmental Protection,Waste Reduction and Recycling,M,90848.00,0.00,5745.60,21
1355,DEP,Department of Environmental Protection,Resource Conversion,M,109761.00,0.00,2280.96,25
1356,DEP,Department of Environmental Protection,Recycling and Refuse Services,M,90848.00,8058.49,0.00,21
1357,DEP,Department of Environmental Protection,Resource Conversion,F,62488.00,0.00,0.00,13
1358,DEP,Department of Environmental Protection,"Planning, Outreach and Monitoring",M,95054.90,0.00,0.00,22
1359,DEP,Department of Environmental Protection,Stormwater BMP Inspection and Maintenance,F,109761.00,0.00,3329.92,25
1360,DEP,Department of Environmental Protection,Administration and Operations,F,109761.00,0.00,0.00,25
1361,DEP,Department of Environmental Protection,Recycling and Refuse Services,M,50661.49,2114.50,0.00,12
1362,DEP,Department of Environmental Protection,Materials Management,F,109761.00,0.00,0.00,25
1363,DEP,Department of Environmental Protection,Recycling and Refuse Services,M,90848.00,20816.54,5745.60,21
1364,DEP,Department of Environmental Protection,Stormwater BMP Inspection and Maintenance,M,99852.00,0.00,6315.84,23
1365,DEP,Department of Environmental Protection,Administration and Operations,F,92310.31,0.00,0.00,23
1366,DEP,Department of Environmental Protection,Recycling and Refuse Services,M,90848.00,4309.29,5745.60,21
1367,DEP,Department of Environmental Protection,Design and Construction,F,49926.00,0.00,0.00,23
1368,DEP,Department of Environmental Protection,Waste Reduction and Recycling,F,78902.00,0.00,0.00,18
1369,DEP,Department of Environmental Protection,"Planning, Outreach and Monitoring",M,83133.13,0.00,0.00,23
1370,DEP,Department of Environmental Protection,Resource Conversion,M,75290.00,3849.16,1563.84,17
1371,DEP,Department of Environmental Protection,Recycling and Refuse Services,F,90770.74,14221.03,0.00,21
1372,DEP,Department of Environmental Protection,Design and Construction,M,120703.00,0.00,0.00,27
1373,DEP,Department of Environmental Protection,Recycling and Refuse Services,F,65248.37,2984.29,0.00,16
1374,DEP,Department of Environmental Protection,Stormwater BMP Inspection and Maintenance,M,109761.00,0.00,0.00,25
1375,DEP,Department of Environmental Protection,"Planning, Outreach and Monitoring",M,95236.00,0.00,2967.84,22
1376,DEP,Department of Environmental Protection,Resource Conversion,M,75290.00,43953.50,0.00,17
1377,DEP,Department of Environmental Protection,Stormwater BMP Inspection and Maintenance,M,109761.00,0.00,0.00,25
1378,DEP,Department of Environmental Protection,Environmental Compliance Group,M,86669.00,17041.15,5482.08,20
1379,DEP,Department of Environmental Protection,Stormwater BMP Inspection and Maintenance,M,99852.00,0.00,0.00,23
1380,DEP,Department of Environmental Protection,Environmental Compliance Group,M,87963.70,0.00,0.00,24
1381,DEP,Department of Environmental Protection,Environmental Compliance Group,M,115099.00,0.00,0.00,26
1382,DEP,Department of Environmental Protection,Waste Reduction and Recycling,M,90848.00,46324.51,5745.60,21
1383,DEP,Department of Environmental Protection,"Planning, Outreach and Monitoring",M,95236.00,0.00,6024.24,22
1384,DEP,Department of Environmental Protection,"Planning, Outreach and Monitoring",F,77666.60,0.00,0.00,23
1385,DEP,Department of Environmental Protection,Intergovernmental Affairs,M,109761.00,0.00,6942.24,25
1386,DEP,Department of Environmental Protection,Design and Construction,M,120703.00,0.00,0.00,27
1387,DEP,Department of Environmental Protection,Recycling and Refuse Services,M,90848.00,6005.96,2831.76,21
1388,DEP,Department of Environmental Protection,Resource Conversion,F,62488.00,358.59,3952.80,13
1389,DEP,Department of Environmental Protection,Recycling and Refuse Services,M,109761.00,0.00,878.60,25
1390,DEP,Department of Environmental Protection,Recycling and Refuse Services,F,90848.00,22693.23,5745.60,21
1391,DEP,Department of Environmental Protection,Strategic Services Division,F,99852.00,0.00,2766.72,23
1392,DEP,Department of Environmental Protection,Stormwater BMP Inspection and Maintenance,F,132062.51,0.00,0.00,M3
1393,DEP,Department of Environmental Protection,"Planning, Outreach and Monitoring",M,95236.00,0.00,2967.84,22
1394,DEP,Department of Environmental Protection,Strategic Services Division,F,159226.10,0.00,0.00,M2
1395,DEP,Department of Environmental Protection,"Planning, Outreach and Monitoring",F,99404.95,0.00,0.00,23
1396,DEP,Department of Environmental Protection,Recycling and Refuse Services,M,90848.00,35169.21,5745.60,21
1397,DEP,Department of Environmental Protection,Design and Construction,M,95236.00,0.00,6024.24,22
1398,DEP,Department of Environmental Protection,Recycling and Refuse Services,M,90848.00,11134.60,2831.76,21
1399,DEP,Department of Environmental Protection,Resource Conversion,M,66437.46,29826.46,0.00,17
1400,DEP,Department of Environmental Protection,Materials Management,M,120703.00,0.00,0.00,27
1401,DEP,Department of Environmental Protection,Environmental Compliance Group,F,104680.00,0.00,0.00,24
1402,DEP,Department of Environmental Protection,Design and Construction,F,109761.00,0.00,0.00,25
1403,DEP,Department of Environmental Protection,Administration and Operations,F,90848.00,0.00,0.00,21
1404,DEP,Department of Environmental Protection,Strategic Services Division,M,79383.89,0.00,0.00,26
1405,DEP,Department of Environmental Protection,"Planning, Outreach and Monitoring",M,99852.00,0.00,0.00,23
1406,DEP,Department of Environmental Protection,Strategic Services Division,F,77245.84,0.00,0.00,26
1407,DEP,Department of Environmental Protection,Low-Impact Development,M,98420.74,0.00,0.00,23
1408,DEP,Department of Environmental Protection,"Planning, Outreach and Monitoring",M,94540.02,0.00,0.00,26
1409,DEP,Department of Environmental Protection,Environmental Compliance Group,F,77340.85,0.00,0.00,24
1410,DEP,Department of Environmental Protection,Resource Conversion,M,112263.14,0.00,0.00,27
1411,DEP,Department of Environmental Protection,Design and Construction,M,99852.00,1224.26,0.00,23
1412,DEP,Department of Environmental Protection,Watershed Restoration Division,F,109761.00,0.00,0.00,25
1413,DEP,Department of Environmental Protection,Waste Reduction and Recycling,F,99852.00,644.25,0.00,23
1414,DEP,Department of Environmental Protection,Waste Reduction and Recycling,M,109761.00,0.00,0.00,25
1415,DEP,Department of Environmental Protection,Strategic Services Division,F,95134.60,0.00,0.00,23
1416,DEP,Department of Environmental Protection,Resource Conversion,F,50234.82,4063.40,0.00,13
1417,DEP,Department of Environmental Protection,Recycling and Resource Management Division,M,21874.00,0.00,0.00,5
1418,DEP,Department of Environmental Protection,Low-Impact Development,M,55640.12,0.00,0.00,16
1419,DEP,Department of Environmental Protection,Stormwater BMP Inspection and Maintenance,F,109761.00,0.00,0.00,25
1420,DEP,Department of Environmental Protection,Design and Construction,M,109761.00,0.00,0.00,25
1421,DEP,Department of Environmental Protection,Recycling and Refuse Services,M,89872.02,25568.46,0.00,21
1422,DEP,Department of Environmental Protection,Resource Conversion,M,82691.00,0.00,0.00,19
1423,DEP,Department of Environmental Protection,Design and Construction,M,120703.00,0.00,0.00,27
1424,DEP,Department of Environmental Protection,Waste Reduction and Recycling,F,73601.63,847.49,0.00,21
1425,DEP,Department of Environmental Protection,Office of Energy and Climate,F,103461.13,0.00,0.00,M3
1426,DEP,Department of Environmental Protection,Resource Conversion,M,79250.93,7670.24,0.00,23
1427,DEP,Department of Environmental Protection,Waste Reduction and Recycling,F,71882.94,0.00,0.00,21
1428,DEP,Department of Environmental Protection,Administration and Operations,F,187038.11,0.00,0.00,M1
1429,DEP,Department of Environmental Protection,Watershed Restoration Division,M,162143.54,0.00,0.00,M2
1430,DEP,Department of Environmental Protection,Design and Construction,M,86185.54,1491.71,0.00,23
1431,DEP,Department of Environmental Protection,Office of Energy and Climate,F,86308.83,0.00,0.00,25
1432,DEP,Department of Environmental Protection,Stormwater BMP Inspection and Maintenance,M,96014.27,0.00,0.00,25
1433,DEP,Department of Environmental Protection,Resource Conversion,F,54526.62,40689.98,0.00,13
1434,DEP,Department of Environmental Protection,Intergovernmental Affairs,M,97792.32,0.00,0.00,23
1435,DEP,Department of Environmental Protection,Strategic Services Division,M,112135.18,0.00,0.00,26
1436,DEP,Department of Environmental Protection,Resource Conversion,M,139721.68,0.00,0.00,M3
1437,DEP,Department of Environmental Protection,Communications and Public Engagement,F,111577.30,0.00,0.00,26
1438,DEP,Department of Environmental Protection,"Planning, Outreach and Monitoring",F,72135.34,0.00,0.00,23
1439,DEP,Department of Environmental Protection,Design and Construction,F,102785.54,0.00,0.00,25
1440,DEP,Department of Environmental Protection,"Planning, Outreach and Monitoring",F,109761.00,0.00,0.00,25
1441,DEP,Department of Environmental Protection,Recycling and Resource Management Division,M,167345.00,0.00,0.00,M2
1442,DEP,Department of Environmental Protection,Recycling and Refuse Services,F,76530.54,3863.39,0.00,18
1443,DEP,Department of Environmental Protection,Administration and Operations,M,84197.35,868.31,0.00,22
1444,DEP,Department of Environmental Protection,Recycling and Refuse Services,M,90848.00,42437.85,0.00,21
1445,DEP,Department of Environmental Protection,Recycling and Refuse Services,M,89332.30,18650.70,0.00,21
1446,DEP,Department of Environmental Protection,Waste Reduction and Recycling,F,78902.00,0.00,0.00,18
1447,DEP,Department of Environmental Protection,Waste Reduction and Recycling,F,80743.10,0.00,0.00,23
1448,DEP,Department of Environmental Protection,Resource Conversion,F,71243.91,25843.27,0.00,16
1449,DEP,Department of Environmental Protection,Waste Reduction and Recycling,F,70974.05,127.97,0.00,21
1450,DEP,Department of Environmental Protection,Director,M,190000.00,0.00,0.00,0
1451,DEP,Department of Environmental Protection,Materials Management,M,124745.00,0.00,0.00,M3
1452,DEP,Department of Environmental Protection,Low-Impact Development,M,99852.00,0.00,0.00,23
1453,DEP,Department of Environmental Protection,Low-Impact Development,F,99852.00,0.00,0.00,23
1454,DEP,Department of Environmental Protection,Stormwater BMP Inspection and Maintenance,M,76687.50,829.56,0.00,23
1455,DEP,Department of Environmental Protection,Stormwater BMP Inspection and Maintenance,F,76687.50,0.00,0.00,23
1456,DEP,Department of Environmental Protection,Watershed Restoration Division,M,79346.00,0.00,0.00,23
1457,DEP,Department of Environmental Protection,Resource Conversion,F,79755.00,258.83,0.00,20
1458,DEP,Department of Environmental Protection,Stormwater BMP Inspection and Maintenance,M,61350.00,0.00,0.00,23
1459,DEP,Department of Environmental Protection,Recycling and Resource Management Division,F,65440.00,0.00,0.00,17
1460,DEP,Department of Environmental Protection,Office of Energy and Climate,F,86912.50,0.00,0.00,23
1461,DEP,Department of Environmental Protection,Waste Reduction and Recycling,F,80000.00,0.00,0.00,21
1462,DEP,Department of Environmental Protection,Resource Conversion,F,62488.00,18578.10,0.00,13
1463,DEP,Department of Environmental Protection,Communications and Public Engagement,F,144751.00,0.00,0.00,M3
1464,DEP,Department of Environmental Protection,"Planning, Outreach and Monitoring",M,68000.00,0.00,0.00,22
1465,DEP,Department of Environmental Protection,Stormwater BMP Inspection and Maintenance,F,50000.00,0.00,0.00,16
1466,DEP,Department of Environmental Protection,Recycling and Refuse Services,M,79000.00,6252.68,0.00,21
1467,DEP,Department of Environmental Protection,Waste Reduction and Recycling,F,78902.00,0.00,0.00,18
1468,DEP,Department of Environmental Protection,Waste Reduction and Recycling,M,78902.00,0.00,0.00,18
1469,DEP,Department of Environmental Protection,Waste Reduction and Recycling,F,53000.00,0.00,0.00,18
1470,DEP,Department of Environmental Protection,Environmental Compliance Group,M,95000.00,0.00,0.00,24
1471,DEP,Department of Environmental Protection,Design and Construction,M,76500.00,882.70,0.00,23
1472,DEP,Department of Environmental Protection,Director,M,82000.00,0.00,0.00,25
1473,DEP,Department of Environmental Protection,Resource Conversion,M,82000.00,0.00,0.00,23
1474,DEP,Department of Environmental Protection,Waste Reduction and Recycling,F,57000.00,0.00,0.00,18
1475,DGS,Department of General Services,Fleet Management Services,M,115099.00,0.00,2391.12,26
1476,DGS,Department of General Services,Fleet Management Services,F,71852.00,0.00,0.00,16
1477,DGS,Department of General Services,Fleet Management Services,F,109761.00,0.00,0.00,25
1478,DGS,Department of General Services,Real Estate Office,F,144751.00,0.00,0.00,M3
1479,DGS,Department of General Services,ADA Compliance,F,95184.08,0.00,0.00,21
1480,DGS,Department of General Services,Building Design and Construction,F,126584.00,313.42,3944.16,28
1481,DGS,Department of General Services,Building Design and Construction,F,126584.00,0.00,0.00,28
1482,DGS,Department of General Services,Fleet Management Fleet Services,M,134880.55,0.00,0.00,M3
1483,DGS,Department of General Services,Real Estate Office,F,78902.00,0.00,0.00,18
1484,DGS,Department of General Services,Fleet Management Fleet Services,M,137263.62,0.00,0.00,M3
1485,DGS,Department of General Services,Administration and Budget,F,109103.40,0.00,0.00,25
1486,DGS,Department of General Services,Central Duplicating,M,56967.00,0.00,3535.20,11
1487,DGS,Department of General Services,Fleet Management Administration,M,86669.00,4973.11,5482.08,20
1488,DGS,Department of General Services,Building Design and Construction,M,126584.00,0.00,8007.12,28
1489,DGS,Department of General Services,Building Design and Construction,M,126584.00,0.00,0.00,28
1490,DGS,Department of General Services,Fleet Automotive Heavy Equipment,F,71852.00,0.00,1576.24,16
1491,DGS,Department of General Services,Property Management,M,88071.61,3701.20,0.00,21
1492,DGS,Department of General Services,Contracting and Accounts Payable,M,71852.00,1707.94,2239.92,16
1493,DGS,Department of General Services,Central Duplicating,M,129922.62,0.00,0.00,M3
1494,DGS,Department of General Services,Fleet Management Services,F,99852.00,0.00,0.00,23
1495,DGS,Department of General Services,Contracting and Accounts Payable,M,99852.00,0.00,0.00,23
1496,DGS,Department of General Services,Property Management,M,104680.00,30761.99,2175.12,24
1497,DGS,Department of General Services,Building Design and Construction,F,71852.00,0.00,4373.92,16
1498,DGS,Department of General Services,Central Services,F,167345.00,0.00,0.00,M2
1499,DGS,Department of General Services,Fleet Management Administration,F,75290.00,0.00,0.00,17
1500,DGS,Department of General Services,Building Design and Construction,F,144751.00,0.00,0.00,M3
1501,DGS,Department of General Services,Director,M,210143.00,0.00,0.00,0
1502,DGS,Department of General Services,Real Estate Office,F,71852.00,0.00,4544.64,16
1503,DGS,Department of General Services,Building Design and Construction,M,126584.00,313.42,3944.16,28
1504,DGS,Department of General Services,Building Design and Construction,M,126584.00,0.00,0.00,28
1505,DGS,Department of General Services,Contracting and Accounts Payable,M,166175.56,0.00,0.00,M3
1506,DGS,Department of General Services,Fleet Management Services,F,144654.81,0.00,0.00,M3
1507,DGS,Department of General Services,Building Design and Construction,M,126584.00,0.00,0.00,28
1508,DGS,Department of General Services,Facilities Maintenance,M,95236.00,8791.26,0.00,22
1509,DGS,Department of General Services,Building Design and Construction,F,126584.00,0.00,0.00,28
1510,DGS,Department of General Services,Building Design and Construction,M,144702.16,0.00,0.00,M3
1511,DGS,Department of General Services,Fleet Automotive Heavy Equipment,F,90848.00,0.00,2622.00,21
1512,DGS,Department of General Services,Building Design and Construction,F,120703.00,0.00,0.00,27
1513,DGS,Department of General Services,Facilities Major Programs,M,99852.00,45832.29,2075.76,23
1514,DGS,Department of General Services,Planning and Development,F,167340.53,0.00,0.00,M2
1515,DGS,Department of General Services,Property Management,M,104475.20,12929.70,0.00,24
1516,DGS,Department of General Services,Facilities Major Programs,M,120703.00,0.00,2507.04,27
1517,DGS,Department of General Services,Fleet Management Administration,F,109761.00,118.74,0.00,25
1518,DGS,Department of General Services,Building Design and Construction,F,126584.00,0.00,0.00,28
1519,DGS,Department of General Services,Building Design and Construction,M,120703.00,0.00,3760.56,27
1520,DGS,Department of General Services,Building Design and Construction,M,120703.00,0.00,3342.72,27
1521,DGS,Department of General Services,Building Design and Construction,M,126584.00,0.00,0.00,28
1522,DGS,Department of General Services,Fleet Management Services,F,71852.00,0.00,0.00,16
1523,DGS,Department of General Services,Fleet Management Services,M,69281.95,399.71,0.00,16
1524,DGS,Department of General Services,Building Design and Construction,M,144751.00,0.00,0.00,M3
1525,DGS,Department of General Services,Fleet Automotive Heavy Equipment,M,136428.66,0.00,0.00,M3
1526,DGS,Department of General Services,Building Design and Construction,M,126584.00,0.00,0.00,28
1527,DGS,Department of General Services,Building Design and Construction,F,120703.00,0.00,3760.56,27
1528,DGS,Department of General Services,Administration and Budget,F,90848.00,8019.22,1887.84,21
1529,DGS,Department of General Services,Fleet Automotive Heavy Equipment,F,75157.07,0.00,0.00,21
1530,DGS,Department of General Services,Fleet Management Services,M,60241.38,0.00,0.00,16
1531,DGS,Department of General Services,Facilities,M,75290.00,63609.56,0.00,17
1532,DGS,Department of General Services,Building Design and Construction,M,144751.00,0.00,0.00,M3
1533,DGS,Department of General Services,Building Design and Construction,M,167345.00,0.00,0.00,M2
1534,DGS,Department of General Services,Building Design and Construction,M,144751.00,0.00,0.00,M3
1535,DGS,Department of General Services,Fleet Management Administration,M,99852.00,0.00,0.00,23
1536,DGS,Department of General Services,Facilities Major Programs,M,120703.00,0.00,3760.56,27
1537,DGS,Department of General Services,Facilities Maintenance,M,82691.00,2641.19,2576.88,19
1538,DGS,Department of General Services,Facilities Maintenance,M,82691.00,5695.13,0.00,19
1539,DGS,Department of General Services,Facilities Major Programs,M,86669.00,16941.75,5482.08,20
1540,DGS,Department of General Services,Facilities Maintenance,M,82691.00,1627.72,2576.88,19
1541,DGS,Department of General Services,ADA Compliance,M,91831.79,0.00,0.00,23
1542,DGS,Department of General Services,Fleet Management Fleet Services,M,64993.67,93.75,0.00,19
1543,DGS,Department of General Services,Fleet Management Fleet Services,M,82691.00,614.22,2576.88,19
